Race Name,Location,Country,Region,Date/Month,Distance (mi),Elevation (ft),Field Size,Entry Cost,Tier,Competition,Protocol Fit,Priority Score,Notes
Trans-Sylvania Epic,PA,USA,Northeast,May,Multi-day,High,300-500,$400+,2,NONE,Stage Race,7,MTB stage race
Iron Cross,PA,USA,Northeast,October,62,High,300+,$100-125,2,NONE,Technical,7,Cyclocross/gravel hybrid
Rasputitsa Spring Classic,VT,USA,Northeast,April,45,5000,800+,$75-100,2,NONE,Mud,7,
Pisgah Monster Cross,NC,USA,Southeast,September,62,11000,200,$125-150,2,NONE,Technical/Climbing,8,Brutal climbing
Southern Cross,GA,USA,Southeast,Early March,60/30,5500,300-500,$75-100,3,NONE,Standard,7,
Dirty Pecan,FL,USA,Southeast,Early March,50/25,Minimal,500+,$60-90,3,NONE,Flat,6,Florida flat gravel
Border Wars,GA/AL,USA,Southeast,February,100/62,5000,300,$75-100,3,NONE,Standard,6,
Reliance Deep Woods,TN,USA,Southeast,April,100/50,15000,250,$100-125,2,NONE,Climbing,7,Tennessee climbing
Three State Gravel,Various,USA,Southeast,TBD,100+,Varies,300+,$100-125,3,NONE,Standard,6,
Swamp Fox,SC,USA,Southeast,November,40/25,1500,300+,$60-80,3,NONE,Flat,5,
BWR North Carolina,NC,USA,Southeast,October,130/70,10000,800+,$175-250,2,MEDIUM,Technical,7,BWR franchise
Tour of the White Mountains,AZ,USA,Southwest,May,50/30,5000,300+,$75-100,3,NONE,Heat,7,Arizona anchor
Prickly Pedal,AZ,USA,Southwest,October,50/25,4000,300+,$60-90,3,NONE,Heat,6,Phoenix area
BWR Arizona,AZ,USA,Southwest,Early March,130/70,8000,600+,$175-250,2,MEDIUM,Heat,7,Desert spring heat
Spirit World 100,AZ,USA,Southwest,October,100,6000,300+,$100-125,2,NONE,Heat,7,Arizona desert
Gravel Locos,Hico TX,USA,Southwest,March,100/50,3500,1000+,$0 (free),2,NONE,Standard,8,Free race - Texas hospitality
Big Horn Gravel,WY,USA,Southwest,August,100/50,7000,300+,$100-125,3,NONE,Standard,6,Wyoming gravel
The Traka 360,Girona Spain,Europe,Spain,Early May,360/200/100,25000,3000+,$80-200,1,LOW,Standard,10,European flagship
Badlands,Spain,Europe,Spain,Late August,750km,15000,350-400,$200+,1,NONE,Heat/Ultra,9,Self-supported ultra
Sea Otter Europe,Girona Spain,Europe,Spain,September,Various,Varies,1000+,$75-150,2,NONE,Standard,7,UCI event
UCI Gravel Castellon,Spain,Europe,Spain,TBD,Various,Varies,500+,$75-125,2,NONE,Standard,7,UCI World Series
Dirty Reiver,UK,Europe,UK,Late April,200/130/65km,4000m,2000+,$75-125,1,NONE,Standard,8,UK flagship
The Gralloch,Scotland,Europe,UK,May,130/80/40km,Varies,3000,$75-125,1,NONE,Standard,8,Scottish Highlands
King Alfred's Way,UK,Europe,UK,Various,Self-supported,Varies,,,2,NONE,Ultra,6,Bikepacking route
Grinduro UK,Scotland,Europe,UK,June,60km,4000m,500+,$125-175,2,NONE,Technical,7,
The Rift,Iceland,Europe,Iceland,Mid-July,200/100km,3000m,1000,$150-250,1,NONE,Extreme,9,Volcanic bucket list
Nova Eroica,Italy,Europe,Italy,June,Various,Varies,3000-5000,$75-150,1,NONE,Standard,7,Strade Bianche connection
Strade Bianche Gran Fondo,Italy,Europe,Italy,March,140/75km,2000m,6500+,$100-175,1,NONE,Standard,8,Iconic white roads
La Monsterrato,Italy,Europe,Italy,May,140/90km,3000m,500+,$75-100,2,NONE,Standard,6,
FNLD GRVL,Finland,Europe,Scandinavia,August,280/185/75km,Varies,1000-1500,$100-175,1,NONE,Standard,7,Nordic flagship
Gravel One Fifty,Netherlands,Europe,Netherlands,October,150/100km,1500m,2000,$75-125,1,NONE,Standard,7,
Bolero Turnhout Gravel,Belgium,Europe,Belgium,September,Various,Varies,2500+,$75-100,1,NONE,Standard,7,UCI World Series
Houffa Gravel,Belgium,Europe,Belgium,TBD,Various,Varies,500+,$60-90,2,NONE,Standard,6,UCI event
Heathland Gravel,Belgium,Europe,Belgium,TBD,Various,Varies,500+,$60-90,2,NONE,Standard,6,UCI event
Flanders Legacy Ride,Belgium,Europe,Belgium,TBD,Various,Varies,500+,$75-100,2,NONE,Standard,6,
Marly Grav,Netherlands,Europe,Netherlands,TBD,Various,Varies,500+,$60-90,2,NONE,Standard,6,UCI event
Wish One Millau,France,Europe,France,TBD,Various,Varies,500+,$75-125,2,NONE,Standard,6,UCI event
66° South Pyrénées,France,Europe,France,TBD,Various,Varies,500+,$75-125,2,NONE,Climbing,6,
Eislek Gravel,Luxembourg,Europe,Luxembourg,2025,Various,Varies,300+,$75-100,2,NONE,Standard,6,New 2025
Alentejo Gravel,Portugal,Europe,Portugal,TBD,Various,Varies,500+,$75-100,2,NONE,Standard,6,UCI event
114 Gravel Race,Portugal,Europe,Portugal,TBD,114km,Varies,300+,$60-90,3,NONE,Standard,5,
Gravel Suisse,Switzerland,Europe,Switzerland,TBD,Various,High,300+,$100-150,2,NONE,Altitude,6,Alpine gravel
SEVEN,Western Australia,Australia,Australia,May,Various,Varies,1600+,$150-250,1,NONE,Standard,9,2026 UCI Worlds host
Devils Cardigan,Tasmania,Australia,Australia,May,150/100/60km,Varies,360+,$100-175,2,NONE,Standard,8,
Great Otway Gravel Grind,Victoria,Australia,Australia,Feb-March,160/110/60km,Varies,500-800,$100-150,2,NONE,Standard,7,
RADL GRVL,South Australia,Australia,Australia,January,Various,Varies,500+,$100-150,2,NONE,Heat,8,Summer heat protocol
Gravelista,Victoria,Australia,Australia,October,100/50km,Varies,600+,$100-125,2,NONE,Standard,6,
Gravel Otago,NZ,Australia,New Zealand,March,100/50km,Varies,300+,$75-125,2,NONE,Standard,6,
Edition Zero,NZ,Australia,New Zealand,November,Various,Varies,Growing,$100-150,2,NONE,Standard,6,
Lake Taupo Cycle Challenge,NZ,Australia,New Zealand,November,160km,Varies,Thousands,$75-125,2,NONE,Standard,7,
Pioneer MTB,NZ,Australia,New Zealand,February,Stage Race,Varies,500+,$1000+,1,NONE,Stage Race,6,High-end stage race
Paris to Ancaster,Ontario,Canada,Canada,Late April,70km,Varies,2000-3000,$75-125,1,NONE,Mud,9,Only Canadian UCI qualifier
TransRockies Gravel Royale,BC,Canada,Canada,Late August,Stage Race,High,300-350,$500+,1,NONE,Stage Race,8,
Kettle Mettle,BC,Canada,Canada,Late June,100/50km,Varies,300-500,$100-125,2,NONE,Standard,7,
The Range,Alberta,Canada,Canada,July,Various,Varies,300-500,$100-125,2,NONE,Standard,8,Gravel Earth Series
Ghost of the Gravel,Alberta,Canada,Canada,June,100/50km,Varies,300+,$75-100,3,NONE,Standard,6,
Gravel Burn,South Africa,Africa,South Africa,Oct-Nov,Stage Race,Varies,500,$200+,1,NONE,Heat/Stage,9,$150K prize purse
Migration Gravel Race,Kenya,Africa,Kenya,June,300km,Varies,300+,$300+,1,NONE,Heat/Adventure,9,Masai Mara wildlife
King Price Race to Sun,South Africa,Africa,South Africa,May,Various,Varies,500-1000,$100-150,2,NONE,Standard,7,SA Nationals host
Atlas Mountain Race,Morocco,Africa,Morocco,February,1300km,High,200-265,$300+,1,NONE,Ultra/Altitude,8,Bikepacking ultra
Safari Gravel Race,Kenya,Africa,Kenya,June 2026,UCI,Varies,UCI,$150+,2,NONE,Heat,8,Hell's Gate NP
Cape Epic,South Africa,Africa,South Africa,March,Stage Race,High,1200+,$3000+,1,MEDIUM,Stage Race,5,MTB but prestigious
UCI Gravel Brazil,Brazil,South America,Brazil,March 2026,UCI,Varies,500+,$100-150,1,NONE,Standard,9,First SA UCI event
Vuelta Altas Cumbres,Argentina,South America,Argentina,March 2026,Various,High,300+,$100-150,2,NONE,Altitude,8,
Karukinka,Chile,South America,Chile,December,Stage Race,Varies,200+,$500+,2,NONE,Stage Race,8,Patagonia
Gravel del Fuego,Chile,South America,Chile,April,Various,Varies,200+,$100-150,2,NONE,Standard,7,
Transcordilleras,Colombia,South America,Colombia,Annual,Various,12500ft,200+,$150-200,2,NONE,Altitude,8,3800m altitude
Gravel Bogotá,Colombia,South America,Colombia,May 2026,Various,High,300+,$100-150,2,NONE,Altitude,8,
Gravel Medellín,Colombia,South America,Colombia,2026,Various,High,300+,$100-150,2,NONE,Altitude,7,
Andes Pacifico,Chile,South America,Chile,February,Stage Race,High,300+,$500+,2,NONE,Stage Race,7,MTB crossover
UCI Gravel Dustman,Thailand,Asia,Thailand,November,UCI,Varies,500+,$100-150,1,NONE,Heat,8,Only Asian UCI 2025
Niseko Gravel,Japan,Asia,Japan,September,Various,Varies,300+,$100-150,2,NONE,Standard,6,
Taiwan KOM Gravel,Taiwan,Asia,Taiwan,TBD,Various,High,200+,$100-150,2,NONE,Altitude,6,
Silk Road Mountain Race,Kyrgyzstan,Asia,Central Asia,August,1700km,High,200,$300+,1,NONE,Ultra/Altitude,7,Bikepacking ultra
Copper Triangle,CO,USA,Mountain West,August,78,6500,2000+,$100-150,2,NONE,Altitude,6,Road/gravel adjacent
Durango Dirt Fondo,Durango CO,USA,Mountain West,August,60/40,5000,400+,$75-100,3,NONE,Altitude,6,Southwest Colorado
Telluride 100,Telluride CO,USA,Mountain West,July,100,10000,300+,$125-175,2,NONE,Altitude,7,High altitude challenge
Breck Epic,Breckenridge CO,USA,Mountain West,August,Stage Race,High,300+,$800+,1,NONE,Altitude/Stage,6,MTB stage race
Steamboat Stinger,Steamboat CO,USA,Mountain West,June,50,4000,400+,$75-100,3,NONE,Altitude,6,SBT companion
Cycle Oregon Gravel,Oregon,USA,Pacific NW,September,Various,Varies,500+,$100-150,2,NONE,Standard,7,Multi-day supported
Gorge Gravel Grinder,Hood River OR,USA,Pacific NW,May,60/35,4500,400+,$75-100,3,NONE,Standard,6,Columbia Gorge
Crosstoberfest,Portland OR,USA,Pacific NW,October,50/30,3000,300+,$50-75,3,NONE,Standard,5,PNW fall race
High Cascades 100,Bend OR,USA,Pacific NW,July,100,6500,400+,$125-150,2,NONE,Altitude,7,Oregon Cascades
Skamania Gravel,WA,USA,Pacific NW,June,50/25,4000,300+,$60-80,3,NONE,Standard,5,Washington entry
Wenatchee Valley Gravel,WA,USA,Pacific NW,September,60/30,4500,250+,$60-80,3,NONE,Standard,5,Central Washington
Capitol Peak Gravel,Olympia WA,USA,Pacific NW,August,75/50,5000,300+,$75-100,3,NONE,Standard,6,
Haute Route Asheville,Asheville NC,USA,Southeast,June,80,8000,400+,$150-200,2,NONE,Climbing,7,Blue Ridge climbing
Six Gap Century,Dahlonega GA,USA,Southeast,September,100,10500,2000+,$100-125,2,NONE,Climbing,7,Road but gravel spirit
Tour de Felasco,FL,USA,Southeast,January,50/30,1500,400+,$60-80,3,NONE,Standard,6,Florida winter
Santos Fat Tire Festival,Ocala FL,USA,Southeast,January,Various,Minimal,500+,$50-75,3,NONE,Flat,5,Florida MTB/gravel
Assault on Mt Mitchell,NC,USA,Southeast,May,102,10357,1000+,$100-150,1,NONE,Climbing,7,Epic climbing
Paris Mountain Gravel,Greenville SC,USA,Southeast,March,50,5000,300+,$60-80,3,NONE,Standard,6,
Georgia Jewel 100,Dalton GA,USA,Southeast,October,100,10000,200+,$100-125,2,NONE,Climbing,7,Technical Georgia
Palmetto Gravel,SC,USA,Southeast,November,50/25,2500,250+,$50-75,3,NONE,Standard,5,
Fall Brawl,Pisgah NC,USA,Southeast,October,Various,High,200+,$75-100,3,NONE,Technical,6,Pisgah forest
Ouachita Challenge,AR,USA,Southeast,April,60,7000,300+,$75-100,3,NONE,Technical,6,Arkansas MTB/gravel
Cohutta 100,Chatsworth GA,USA,Southeast,April,100,12500,300+,$100-125,2,NONE,Climbing,7,Brutal climbing
Jerdon Mountain Challenge,WV,USA,Southeast,June,50,6000,200+,$60-80,3,NONE,Climbing,5,West Virginia
Tour de Burg,VA,USA,Southeast,August,100/50,8000,300+,$75-100,2,NONE,Climbing,6,Virginia mountains
Shenandoah Mountain 100,VA,USA,Southeast,September,100,14000,400+,$125-150,2,NONE,Climbing/Technical,8,Legendary MTB
Blue Ridge Brutal,VA,USA,Southeast,June,100,12000,300+,$100-125,2,NONE,Climbing,7,
Fools Gold,Dahlonega GA,USA,Southeast,June,100/50,10000,400+,$100-125,2,NONE,Climbing,7,Gold country gravel
Marji Gesick,Marquette MI,USA,Midwest,September,100,10000,500+,$125-175,2,NONE,Technical,8,Upper Michigan epic
Ore to Shore,Marquette MI,USA,Midwest,August,48/28,2500,3000+,$75-100,2,NONE,Standard,7,Massive field
Lumberjack 100,Manistee MI,USA,Midwest,June,100,6000,400+,$100-125,2,NONE,Standard,7,Michigan NF
Iceman Cometh,Traverse City MI,USA,Midwest,November,30,1800,5000+,$75-100,1,NONE,Cold,7,Huge cold-weather race
Chequamegon 40,Cable WI,USA,Midwest,September,40,2000,2500+,$100-125,2,NONE,Standard,8,Legendary Midwest
Dairyland Dare,WI,USA,Midwest,June,Various,3000,400+,$60-80,3,NONE,Standard,5,Wisconsin gravel
Horribly Hilly Hundreds,WI,USA,Midwest,June,100/200,10000+,1000+,$100-150,2,NONE,Climbing,7,Driftless climbing
Driftless Dirt,WI,USA,Midwest,July,50/100,Varies,300+,$60-80,3,NONE,Standard,5,
Ragnarok,MN,USA,Midwest,April,105/65/40,5000,500+,$75-100,2,NONE,Mud/Cold,7,Spring chaos
Crooked Roubaix,MN,USA,Midwest,May,68,3500,400+,$60-80,3,NONE,Standard,6,
Bone Bender,MO,USA,Midwest,October,52/26,4500,300+,$60-80,3,NONE,Standard,5,Ozark gravel
Katy Trail,MO,USA,Midwest,Various,225,Minimal,,,3,NONE,Flat,4,Rail trail
Tour of KC Gravel,Kansas City,USA,Midwest,September,50/25,2500,300+,$50-75,3,NONE,Standard,5,
Dirty Kanza Lite,Emporia KS,USA,Midwest,October,50/25,2500,500+,$50-75,3,NONE,Standard,5,DK companion
Lincoln Trail Gravel,IL,USA,Midwest,May,50/25,1500,200+,$40-60,3,NONE,Flat,4,
Farmdale,IL,USA,Midwest,September,33,High,300+,$50-75,3,NONE,Technical,5,
Dirty Thirty,CO,USA,Mountain West,June,30,4000,300+,$50-75,3,NONE,Standard,5,Golden CO
Rattlesnake Ramble,Durango CO,USA,Mountain West,September,50,5000,300+,$60-80,3,NONE,Standard,5,
Montezuma's Revenge,UT,USA,Mountain West,October,50/25,4000,200+,$60-80,3,NONE,Standard,5,Southern Utah
Salty Lizard 100,Salt Lake UT,USA,Mountain West,September,100,6000,400+,$100-125,2,NONE,Standard,7,
Cache Valley Gran Fondo,Logan UT,USA,Mountain West,July,100,5000,500+,$75-100,2,NONE,Standard,6,
Tour of the Gila,NM,USA,Mountain West,April,Stage Race,High,300+,$400+,2,NONE,Stage Race,6,
Cochise County Cycling Classic,AZ,USA,Southwest,March,50/25,3500,200+,$50-75,3,NONE,Standard,4,
Cave Creek Thriller,AZ,USA,Southwest,October,50,4500,300+,$60-80,3,NONE,Standard,5,Phoenix area
Mount Lemmon Gravel,Tucson AZ,USA,Southwest,November,50,7000,300+,$75-100,3,NONE,Climbing,6,Arizona climbing
West Texas Big Bend Gravel,TX,USA,Southwest,Various,100+,8000,200+,$100-125,2,NONE,Heat,7,Remote Texas
Spotted Dog,TX,USA,Southwest,February,50,3000,300+,$60-80,3,NONE,Standard,5,
Dirty 30 Texas,TX,USA,Southwest,December,30,Varies,200+,$40-60,3,NONE,Standard,4,
Enchilada Buffet,TX,USA,Southwest,March,50/25,2500,300+,$50-75,3,NONE,Standard,5,
California Triple Crown,CA,USA,California,Various,Series,Varies,,Varies,2,NONE,Standard,6,Multiple events
Mt Tam Double,CA,USA,California,June,200,20000,300+,$125-150,2,NONE,Climbing,7,Legendary challenge
Sequoia 200,CA,USA,California,March,200,Various,200+,$100-125,2,NONE,Ultra,7,
Central Coast Double,CA,USA,California,April,200,15000,300+,$100-125,2,NONE,Climbing,7,
Wine Country Century,Sonoma CA,USA,California,May,100/62,4000,2000+,$75-125,2,NONE,Standard,6,
Solvang Century,CA,USA,California,March,100,6000,4000+,$100-150,2,NONE,Standard,6,
Tour of Two Forests,Humboldt CA,USA,California,July,50/25,3500,200+,$60-80,3,NONE,Standard,5,
Climb to Kaiser,CA,USA,California,July,155,15000,400+,$125-150,2,NONE,Climbing,7,Sierra Nevada
Sierra Nevada Epic,CA,USA,California,September,100/50,7000,300+,$100-125,2,NONE,Altitude,7,
OATBRAN,Oroville CA,USA,California,March,100/50,8000,300+,$75-100,2,NONE,Standard,6,Old school NorCal
Enchanted Circle,Taos NM,USA,Mountain West,September,100,5000,500+,$100-125,2,NONE,Altitude,6,New Mexico
Santa Fe Century,NM,USA,Mountain West,May,100,3500,1000+,$75-100,2,NONE,Altitude,6,
Tour de Big Bear,CA,USA,California,August,100/50,5000,800+,$75-125,2,NONE,Standard,6,
Fitzgerald's Flamingo,NH,USA,Northeast,March,100km,4000m,300+,$60-80,3,NONE,Mud/Cold,6,New England spring
Green Mountain Double,VT,USA,Northeast,August,200,20000,200+,$125-150,2,NONE,Climbing,7,Vermont epic
GMSR Dirt,VT,USA,Northeast,September,50,5000,300+,$60-80,3,NONE,Standard,6,
The Romp,ME,USA,Northeast,August,100/50,4000,200+,$60-80,3,NONE,Standard,5,Maine gravel
Gran Fondo Hincapie,Greenville SC,USA,Southeast,October,80/50,6000,3000+,$100-175,2,NONE,Standard,7,
Gran Fondo Florida,FL,USA,Southeast,February,100/50,Minimal,1000+,$100-150,2,NONE,Flat,5,
Coast to Coast Gravel,Cairns Aus,Australia,Australia,August,260km,Varies,300+,$150-200,2,NONE,Standard,7,Outback crossing
Reef to Reef,Cairns Aus,Australia,Australia,October,100km,3000m,500+,$125-150,2,NONE,Standard,6,
Port to Port,Newcastle Aus,Australia,Australia,September,Stage Race,Varies,500+,$300+,2,NONE,Stage Race,6,
Brisbane to Ballarat,Australia,Australia,Australia,October,Various,Varies,300+,$100-150,2,NONE,Standard,6,
Blue Derby MTB,Tasmania,Australia,Australia,April,Various,Varies,500+,$125-175,2,NONE,Technical,6,
Transcontinental Race,Europe,Europe,Multi-country,July-Aug,4000km,Varies,300,$250+,1,NONE,Ultra,7,Self-supported ultra
Three Peaks Cyclocross,Yorkshire UK,Europe,UK,September,61km,1500m,600,$50-75,2,NONE,Technical,6,Legendary UK event
Raid Pyrenean,France,Europe,France,July,720km,11000m,Varies,$100-150,2,NONE,Ultra/Climbing,7,
L'Eroica,Tuscany Italy,Europe,Italy,October,Various,Varies,7000+,$100-175,1,NONE,Standard,7,Historic roads
La Resistance,Belgium,Europe,Belgium,Spring,200km,Varies,500+,$75-100,2,NONE,Standard,6,
Gravel Fondo Limburg,Belgium,Europe,Belgium,TBD,Various,Varies,300+,$60-80,3,NONE,Standard,5,
Paris Gravel,France,Europe,France,TBD,100km,Varies,500+,$75-100,2,NONE,Standard,6,
Haute Route Alps,France,Europe,France,August,Stage Race,High,300+,$2000+,1,NONE,Stage Race/Altitude,6,Premium stage race
Haute Route Dolomites,Italy,Europe,Italy,June,Stage Race,High,300+,$2000+,1,NONE,Stage Race/Altitude,6,
Swiss Epic,Switzerland,Europe,Switzerland,August,Stage Race,High,500+,$800+,1,NONE,Stage Race/Altitude,6,MTB stage
Tour Divide,USA/Canada,North America,Multi-state,June,2700mi,200000+,150,$0,1,NONE,Ultra,6,Bikepacking ultra
Colorado Trail Race,Colorado,USA,Mountain West,July,500mi,70000+,100,$0,1,NONE,Ultra/Altitude,6,
Arizona Trail Race,Arizona,USA,Southwest,September,750mi,100000+,100,$0,1,NONE,Ultra,6,
BC Epic 1000,BC Canada,Canada,Canada,July,1000km,Varies,100,$0,1,NONE,Ultra,5,Bikepacking
Race Across America,USA,USA,Multi-state,June,3000mi,175000,50,$1000+,1,NONE,Ultra,4,Non-gravel ultra
Gravel Earth Series - Overall,Various,Global,Multi-country,Year-round,Various,Varies,,Series,,NONE,Standard,8,Global series
Life Time Grand Prix,USA,USA,Multi-state,Year-round,Various,Varies,,Series,,MEDIUM,Standard,7,US series
UCI Gravel World Championships,Rotating,Global,Rotating,October,Various,Varies,Elite,,1,NONE,Standard,9,World championship
National Championships - USA,TBD,USA,USA,TBD,Various,Varies,500+,TBD,1,NONE,Standard,8,US nationals
Pan American Gravel Championships,Americas,Americas,Rotating,TBD,Various,Varies,300+,TBD,1,NONE,Standard,7,Continental champ
